代码,名称,最新价,涨跌幅,最高,最低,成交额,行情时间,类型,所属板块
002384,东山精密,200.3,1.33,205.0,196.0,8410410000.0,20260821140054,代表池,PCB/消费电子
603228,景旺电子,94.82,6.28,96.82,88.4,3552330000.0,20260821140054,代表池,PCB
002436,兴森科技,35.05,3.67,35.99,33.4,3728270000.0,20260821140054,代表池,PCB
002475,立讯精密,54.6,2.36,55.22,52.81,4435290000.0,20260821140054,代表池,消费电子
000725,京东方A,5.98,1.36,6.05,5.79,6574610000.0,20260821140054,代表池,面板
002241,歌尔股份,23.33,5.95,23.64,22.29,3228910000.0,20260821140054,代表池,消费电子
300433,蓝思科技,37.3,-1.79,37.8,36.47,3001430000.0,20260821140051,代表池,消费电子
300124,汇川技术,59.13,0.02,59.52,58.3,625160000.0,20260821140054,代表池,工业自动化
002747,埃斯顿,33.24,1.43,33.97,32.27,1413020000.0,20260821140054,代表池,机器人
002236,大华股份,16.03,-0.68,16.13,15.87,384870000.0,20260821140054,代表池,安防AI
002415,海康威视,34.3,0.68,34.5,33.8,1229210000.0,20260821140054,代表池,安防AI
600893,航发动力,36.2,1.17,36.43,35.33,474000000.0,20260821140053,代表池,军工
600760,中航沈飞,44.36,1.98,44.46,43.28,474140000.0,20260821140054,代表池,军工
000768,中航西飞,21.04,0.48,21.06,20.72,186460000.0,20260821140054,代表池,军工
002179,中航光电,34.28,0.26,34.6,33.88,352870000.0,20260821140054,代表池,军工电子
300661,圣邦股份,114.65,-1.66,118.12,114.01,749210000.0,20260821140054,代表池,模拟芯片
601899,紫金矿业,34.47,1.89,34.57,33.6,7273490000.0,20260821140052,代表池,有色
600547,山东黄金,36.92,4.59,37.08,34.8,4404990000.0,20260821140054,代表池,黄金
601600,中国铝业,9.36,2.07,9.4,9.11,1246300000.0,20260821140055,代表池,有色
603993,洛阳钼业,18.52,1.37,18.73,18.19,2561860000.0,20260821140055,代表池,有色
600028,中国石化,5.11,-0.58,5.19,5.07,895320000.0,20260821140054,代表池,石油
601857,中国石油,11.25,2.37,11.39,11.05,1218700000.0,20260821140053,代表池,石油
601088,中国神华,46.51,-0.09,46.9,46.29,625790000.0,20260821140055,代表池,煤炭
601225,陕西煤业,25.69,0.55,26.11,25.3,587130000.0,20260821140052,代表池,煤炭
600048,保利发展,5.18,-1.33,5.23,5.08,623070000.0,20260821140053,代表池,地产
000002,万科A,3.08,-1.91,3.13,3.05,273750000.0,20260821140054,代表池,地产
601668,中国建筑,4.4,-0.68,4.44,4.38,517770000.0,20260821140054,代表池,基建
601390,中国中铁,4.3,-1.38,4.35,4.29,240970000.0,20260821140053,代表池,基建
601186,中国铁建,6.0,-1.15,6.05,5.99,113610000.0,20260821140054,代表池,基建
